model,acc,time,batch_size,max_memory_usage,mean_power_consumption
1,0.7684210526315789,0.9373667240142822,4,2924.4375,30.974272727272727
1,0.7684210526315789,0.9186294078826904,8,2917.5703125,30.167545454545458
1,0.7684210526315789,0.8867828845977783,16,2924.39453125,31.433545454545456
1,0.7684210526315789,0.8663687705993652,32,2905.80078125,30.270636363636367
2,0.8,1.3341333866119385,1,2914.91015625,34.530750000000005
2,0.8,1.0375847816467283,4,2923.99609375,36.785
2,0.8,1.0091798305511477,8,2908.390625,34.90954545454545
2,0.8,0.9792838096618652,16,2934.53125,35.87881818181818
2,0.8,0.9366328716278076,32,2948.2890625,32.51499999999999
3,0.7684210526315789,1.7899513244628906,1,2926.25390625,36.68107692307693
3,0.7684210526315789,1.1773293018341064,4,2943.82421875,35.514166666666675
3,0.7684210526315789,1.1252391338348389,8,2938.02734375,34.81041666666667
3,0.7684210526315789,1.0789895057678225,16,2949.80078125,34.90133333333333
3,0.7684210526315789,1.0411725044250488,32,2932.16796875,34.15891666666666
4,0.8105263157894737,2.298611640930176,1,2958.47265625,39.52386666666667
4,0.8105263157894737,1.330482006072998,4,2960.546875,34.98907692307693
4,0.8105263157894737,1.2388038635253906,8,2946.515625,36.796076923076924
4,0.8105263157894737,1.202394962310791,16,2972.87109375,37.081538461538464
4,0.8105263157894737,1.1483311653137207,32,2982.93359375,36.533923076923074
5,0.7473684210526316,1.254378318786621,1,2913.546875,33.54363636363636
5,0.7473684210526316,0.9508538246154784,4,2921.96484375,30.3217
5,0.7473684210526316,0.8860118389129639,8,2895.9375,33.0229
5,0.7473684210526316,0.8697531223297119,16,2893.7421875,31.216999999999995
5,0.7473684210526316,0.8485140800476074,32,2890.2109375,29.838700000000006
6,0.7263157894736842,1.252493381500244,1,2889.5234375,31.864636363636365
6,0.7263157894736842,0.9724447727203368,4,2919.83203125,31.267900000000004
6,0.7263157894736842,0.9041867256164552,8,2901.40234375,29.3375
6,0.7263157894736842,0.8845512866973877,16,2919.6953125,33.6002
6,0.7263157894736842,0.870326042175293,32,2934.35546875,30.1144
7,0.7473684210526316,1.3525595664978027,1,2907.6484375,33.321000000000005
7,0.7473684210526316,1.003413200378418,4,2916.328125,29.8055
7,0.7473684210526316,0.9277739524841307,8,2940.765625,32.58069999999999
7,0.7473684210526316,0.8998219966888428,16,2912.6328125,31.3805
7,0.7473684210526316,0.8817768096923828,32,2913.390625,29.3909
8,0.7789473684210526,1.4983367919921875,1,2932.83984375,32.42575
8,0.7789473684210526,1.042750358581543,4,2915.25390625,30.31418181818182
8,0.7789473684210526,0.9474146366119384,8,2935.85546875,32.28181818181818
8,0.7789473684210526,0.9250566959381104,16,2908.97265625,31.73036363636363
8,0.7789473684210526,0.9029762744903564,32,2922.7265625,31.82763636363636
9,0.8421052631578947,1.9324100017547607,1,2923.37109375,34.74230769230769
9,0.8421052631578947,1.198967695236206,4,2927.0234375,35.80391666666667
9,0.8421052631578947,1.1485660076141355,8,2947.82421875,37.065000000000005
9,0.8421052631578947,1.0886569023132324,16,2921.30859375,35.858000000000004
9,0.8421052631578947,1.0475070476531982,32,2926.33203125,33.03336363636363
10,0.8631578947368421,4.725806713104248,1,2961.0078125,71.2335909090909
10,0.8631578947368421,4.575772285461426,4,2968.26953125,70.51363636363637
10,0.8631578947368421,4.4671831130981445,8,2986.24609375,69.83519047619049
10,0.8631578947368421,4.412383794784546,16,2972.7890625,70.88733333333333
10,0.8631578947368421,4.444916248321533,32,2990.18359375,73.75866666666667
11,0.7578947368421053,1.754244327545166,1,2910.84765625,40.782
11,0.7578947368421053,1.1702265739440918,4,2929.09375,34.16291666666667
11,0.7578947368421053,1.1280839443206787,8,2950.82421875,37.03916666666667
11,0.7578947368421053,1.079885959625244,16,2960.61328125,33.434999999999995
11,0.7578947368421053,1.0031859874725342,32,2926.53515625,34.47727272727273
12,0.7894736842105263,1.4436750411987305,1,2926.98046875,35.14783333333334
